,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E007  Dayananda Sagar College of Engineering  Bangalore,CB Comp. Sc. andBus Sys.,10862,--,--,9464,30774,17519,16468,--,--,8838,71540,--,7983,--,--,6744,21750,10640,40625,--,66456,15709,70152,75202
E007  Dayananda Sagar College of Engineering  Bangalore,CD Computer Sc.and Design,12126,66459,22246,8641,--,21928,9651,--,37558,7467,--,18396,6849,8981,--,3250,18664,11846,23212,--,27889,19831,--,--
E007  Dayananda Sagar College of Engineering  Bangalore,CE Civil,47204,--,93078,57903,68388,71511,46710,--,99773,41964,--,--,48227,--,65212,41165,61383,58328,60822,74955,61679,52650,--,97345
E007  Dayananda Sagar College of Engineering  Bangalore,CH Chemical,39337,119398,131830,34757,93341,49636,31385,147955,88516,26548,--,93383,26953,62309,89003,24201,46061,30746,55814,--,88712,106036,--,123171
E007  Dayananda Sagar College of Engineering  Bangalore,CS Computers,2789,--,7736,4155,7375,5119,4790,--,9697,2088,12116,4854,2772,--,4509,2043,6701,3930,15780,19962,18627,9173,32849,24935
E007  Dayananda Sagar College of Engineering  Bangalore,CY CS- CyberSecurity,10306,--,--,6993,--,9841,8753,33606,--,5393,--,9368,5927,13257,--,5271,16009,7782,28870,--,46401,10880,--,--
E007  Dayananda Sagar College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,8884,--,--,7232,--,8920,6745,--,--,5293,--,--,5273,11218,--,4890,12872,7648,28066,--,39526,18133,36711,--
E007  Dayananda Sagar College of Engineering  Bangalore,EC Electronics,10304,31079,13985,8861,17160,13817,12278,--,21879,6948,--,12104,6929,--,12257,6299,15321,11133,30377,35784,48319,16340,58763,51184
E007  Dayananda Sagar College of Engineering  Bangalore,EE Electrical,22396,--,38052,21839,--,27193,24133,--,46683,16971,--,--,21189,40626,30314,15496,26515,20413,40750,103174,46548,27422,54583,76281
E007  Dayananda Sagar College of Engineering  Bangalore,EI Elec. Inst.Engg,30892,--,--,33893,--,54615,28103,--,--,25699,--,29182,25320,--,--,21181,30114,27216,92340,--,117676,67912,--,--
E007  Dayananda Sagar College of Engineering  Bangalore,ET Elec.Telecommn. Engg.,24117,--,43561,28363,--,36304,27161,--,163112,20106,--,77371,20835,--,37500,15909,28496,27542,80488,132837,81593,43102,--,141114
E007  Dayananda Sagar College of Engineering  Bangalore,"IC CS-IoT, CyberSecurity",16482,--,--,9948,--,13781,12789,50708,25864,7614,--,9240,7482,36677,--,6771,--,9165,45334,--,74186,36991,--,--
E007  Dayananda Sagar College of Engineering  Bangalore,IE Info.Science,4470,--,8265,4982,10721,6876,5277,26015,14311,3263,--,6648,3759,--,6238,2910,9561,5381,21211,36844,30822,11814,--,33744
