Institution,CourseName,GM,Predicted_AvgCutoffRank
E079  Acharya Institute of Technology  Bangalore,AI ArtificialIntelligence,18001.0,37806.23654563495
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,EE Electrical,18054.0,44914.78925798229
E056  The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EE Electrical,18079.0,38755.910641388684
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",AI ArtificialIntelligence,18406.0,39373.74511062835
E011  M V J College of Engineering  Bangalore,IE Info.Science,18485.0,38414.73705966555
E082  J S S Academy of Technical Education  Bangalore,EC Electronics,18601.0,44602.35995661348
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,"EL Electronics,Instr. Tech.",18603.0,56464.40324812778
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",ET Elec.Telecommn. Engg.,18611.0,49030.33593004612
E103  Global Academy of Technology  Bangalore,IE Info.Science,18643.0,42226.05494726402
E024  Malnad College of Engineering  Hassan,EC Electronics,18724.0,37320.627157091585
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,DS Comp. Sc. Engg-Data Sc.,18743.0,36147.14408942948
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",EE Electrical,18816.0,47415.80565698738
E105  Nitte Meenakshi Institutute of Technology  Bangalore,AE Aeronaut.Engg,18865.0,46207.91719246033
E008  Bangalore Institute of Technology  Bangalore,EV EC  Engg(VLSIDesign),18938.0,55310.42512920546
E011  M V J College of Engineering  Bangalore,AI ArtificialIntelligence,18961.0,47264.91814133987
E079  Acharya Institute of Technology  Bangalore,AE Aeronaut.Engg,18964.0,49139.61070436506
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",CB Comp. Sc. andBus Sys.,18992.0,46619.428963622646
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,RO Auto. AndRobot.,19103.0,49013.10445772478
E160  Sahyadri College of Engg. and Management  Mangalore,IE Info.Science,19347.0,43714.5610229981
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,CS Computers,19536.0,36339.47064904903
E091  K S Institute of Technology  Bangalore,CS Computers,19551.0,39253.927791906164
E129  St. Joseph Engineering College  Mangalore,DS Comp. Sc. Engg-Data Sc.,19566.0,37109.192698095
"E196  Jain College of Engineering  Machche,Belgaum",CS Computers,19679.0,39245.622024781296
E103  Global Academy of Technology  Bangalore,AI ArtificialIntelligence,19680.0,45612.71617378618
E097  C M R Institute of Technology  Bangalore,EC Electronics,19948.0,43790.26008355906
E149  Cambridge Institutute of Technology  Bangalore,CS Computers,19951.0,39974.85005055585
E058  P E S College of Engineering  Mandya,"CA CS (AI, MachineLearning)",20024.0,46568.42214300117
E077  Vidya Vikas Institute of Engineering and Technology  Mysuru,CS Computers,20088.0,39727.55394147541
E173  Sai Vidya Institute of Technology  Bangalore,CS Computers,20145.0,42053.77609713625
E232  Reva University  Bangalore,BG B Tech in AD,20198.0,47537.638759258334
E036  KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,EC Electronics,20231.0,41373.47187564932
E279  Visvesvaraya Technological University  Belgaum,CS Computers,20281.0,35830.51996207432
E079  Acharya Institute of Technology  Bangalore,BT Bio Technology,20342.0,50861.35804625031
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,CY CS- CyberSecurity,20434.0,44291.167281153255
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",DS Comp. Sc. Engg-Data Sc.,20566.0,41127.6717629643
E133  G S S S Institute of Engineering and Technology for Women  Mysore,IE Info.Science,20693.0,41717.4696963813
E155  Government Engineering College  Hassan,CS Computers,20808.0,36793.43391313398
E007  Dayananda Sagar College of Engineering  Bangalore,MD Med.Elect.,20860.0,48117.9849481665
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",EC Electronics,21023.0,47933.614682398
E108  Sapthagiri NPS College of Engineering  Bangalore,IE Info.Science,21031.0,47381.63551621835
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",CS Computers,21060.0,43208.37989664178
E065  Jawaharlal Nehru National College of Engineering  Shimoga,IE Info.Science,21126.0,44564.772447479496
E098  Atria Institute of Technology  Bangalore,CS Computers,21131.0,42519.74279065101
"E240  Dayananda Sagar University  Hosur Road, Bangalore",BL B Tech in AS,21178.0,57563.903305750115
E007  Dayananda Sagar College of Engineering  Bangalore,EI Elec. Inst.Engg,21181.0,47391.372672529105
E011  M V J College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,21277.0,43282.954321103745
"E240  Dayananda Sagar University  Hosur Road, Bangalore",BW B Tech in CS,21343.0,53826.021917706494
E031  Basaveshwara Engineering College  Bagalkot,EC Electronics,21385.0,39097.741432577815
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,EI Elec. Inst.Engg,21397.0,54398.10843779998
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",AE Aeronaut.Engg,21452.0,46269.045625954976
