Institution,CourseName,1G,Predicted_AvgCutoffRank
E159  Karavali Institute of Technology  Mangalore,AI ArtificialIntelligence,100209.0,112705.25544043464
E184  C Byre Gowda Institute of Technology  Kolar,AI ArtificialIntelligence,100285.0,116896.63378864882
"E302  AMITY UNIVERSITY  DEVANAHALLI ,BANAGLORE",YA B.TEHINCOM.SCE.ENG(ROBO),100286.0,132438.12451109278
"E283  University of Mysore  HUNSUR ROAD, MYSORE",BR BioMed. andRobotic Engg,100715.0,106272.54786547626
E112  Sri Krishna Institute of Technology  Bangalore,EV EC  Engg(VLSIDesign),100852.0,130522.0910533965
"E201  Gopalan College of Engineering and Management  White Field, Bangalore","CA CS (AI, MachineLearning)",100887.0,106929.89196334918
E081  H M S Institute of Technology  Tumkur,EC Electronics,101326.0,103683.08072235825
"E168  Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore",AI ArtificialIntelligence,101443.0,124761.25237335556
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,EE Electrical,101740.0,113365.91024116715
E011  M V J College of Engineering  Bangalore,CH Chemical,101965.0,98499.55852570203
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore","IC CS-IoT, CyberSecurity",102449.0,125976.57154531142
"E040  Hira Sugar Institute of Technology  Belagavi District,",EE Electrical,102485.0,124721.17581172526
"E101  Channabasaveshwara Institute of Technology  Gubbi, Tumkur",EE Electrical,102655.0,121594.99868343063
"E086  Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore","IC CS-IoT, CyberSecurity",102835.0,123328.9166666667
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",EE Electrical,103051.0,113624.87236338014
E147  T.John Engineering College  Bangalore,"IC CS-IoT, CyberSecurity",103065.0,123416.08511446888
"E035  Anjuman Engineering College  Bhatkala, Uttar kannada Dist","CA CS (AI, MachineLearning)",103127.0,124486.452724677
E177  Rajeev Institute of Technology  Hassan,EE Electrical,103143.0,122700.64577963325
E106  East West Institute of Technology  Bangalore,ES Electronics andComputer,103299.0,127482.00089824607
"E239  East West College of Engineering  Yelahanka New Town, Bangalore",EA AgricultureEngineering,103533.0,117348.64733258271
"E221  Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist",AI ArtificialIntelligence,103608.0,116143.62992184896
E290  Visvesvaraya Technological University - Regional Center  Mysore,BB B Tech in EC,103884.0,109069.73645132914
E103  Global Academy of Technology  Bangalore,CE Civil,103984.0,128237.5790773046
"E273  Government Engineering College  Viprasainagar, Gangavathi",EE Electrical,104067.0,127160.3389417835
E238  Mysuru Royal Institute of Technology  Mandya (D),EC Electronics,104071.0,109569.29629026874
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",EZ ELECTRONICS ANDCOMPUT,104306.0,131579.70722623885
"E181  Sri Basaveswara Institute of Technology  Tiptur, Tumkur(D)",EC Electronics,104344.0,111940.74806110906
E202  Sampoorna Institute of Technology and Research  Ramanagara (D),"AD ArtificialIntel, Data Sc",104387.0,117529.60436828971
E079  Acharya Institute of Technology  Bangalore,ME Mechanical,104434.0,121528.442487491
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,ME Mechanical,104779.0,121578.409987491
E305  DR H N NATIONAL COLLEGE OF ENGINEERING  BANGALORE,"AD ArtificialIntel, Data Sc",104823.0,117137.13419863483
E157  Government Engineering College  Ramanagara,CE Civil,104919.0,118856.74326913725
"E297  ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY  YELAHANKA, BANGALORE","AD ArtificialIntel, Data Sc",104924.0,117064.2522343491
E301  KISHKINDA UNIVERSITY  BELLARI,EC Electronics,105011.0,112273.14066819428
E015  Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District,"CA CS (AI, MachineLearning)",105015.0,107962.09978937748
E100  K N S Institute of Technology  Bangalore,"IC CS-IoT, CyberSecurity",105560.0,122815.5319087879
E062  Bapuji Institute of Engineering and Technology  Davangere,CE Civil,105582.0,112276.77904617791
E132  Secab Institute of Engineering and Technology  Bijapur,EE Electrical,105859.0,123629.51230158725
"E297  ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY  YELAHANKA, BANGALORE",CF CS(ArtificialIntel.),106029.0,123037.60916931443
"E119  K C T Engineering College  Roza(B),Gulbarga",EC Electronics,106041.0,115325.76754833957
E288  Garden City University  Bangalore,ZC CSC,106363.0,135593.2819516382
E154  Government Engineering College  Chamarajanagara,ME Mechanical,106374.0,130213.3854664124
"E193  Srinivas University  Mukka, Suratkal, Mangalore",CY CS- CyberSecurity,106499.0,119484.19590330629
E175  S.G.Balekundri Institute of Technology  Belgaum,CB Comp. Sc. andBus Sys.,106600.0,107587.71521218515
E043  Gurunanak Dev Engineering College  Bidar,"CA CS (AI, MachineLearning)",106622.0,102464.61861484608
E130  Shridevi Institute of Engineering and Technology  Tumkur,AI ArtificialIntelligence,106875.0,109599.56408408875
"E304  BHARATESH INSTITUTE OF TECHNOLOGY  BASAVANKUDACHI EXTN, BELAGAVI",AI ArtificialIntelligence,107237.0,123324.56186698732
E213  Lingarajappa Engineering College  Bidar,EC Electronics,107530.0,120845.89414252277
E056  The National Institute of Engineering(SOUTH CAMPUS)  Mysore,CE Civil,107587.0,123129.17201235864
"E093  Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",AI ArtificialIntelligence,107895.0,125100.44947440768
