Institution,CourseName,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,CourseName_enc,Predicted_AvgCutoffRank
Malnad College of Engineering  Hassan,CS Computers,20028.0,,22513.0,18295.0,25162.0,19049.0,14410.0,,26541.0,12681.0,,,13554.0,,17158.0,12041.0,20036.0,15885.0,39747.0,56048.0,45331.0,21081.0,104364.0,64572.0,29920.842105263157,42,29842.47055524734
"B M S Institute of Technology and Management  Yelahanka, Bangalore",EC Electronics,17385.0,,23808.0,13368.0,25247.0,17371.0,16893.0,,33597.0,9552.0,21659.0,17823.0,9713.0,,17647.0,9051.0,21246.0,14664.0,39010.0,54744.0,64920.0,27652.0,,37873.0,24661.15,67,27232.220519936178
"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",DS Comp. Sc. Engg-Data Sc.,22720.0,,,20707.0,25355.0,27154.0,,,,,,16903.0,16222.0,,,16108.0,25226.0,16627.0,60319.0,,,65746.0,,,28462.454545454544,64,28538.21740738657
RNS Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",19535.0,,25085.0,18935.0,25510.0,21916.0,27325.0,,37104.0,14272.0,,,15495.0,,17139.0,13872.0,18732.0,17000.0,62445.0,95046.0,95653.0,70759.0,86495.0,84154.0,40340.63157894737,27,38281.01907614853
M S Ramaiah Institute of Technology  Bangalore,CH Chemical,16391.0,,122170.0,22869.0,25683.0,37698.0,18145.0,,202772.0,19215.0,,,16619.0,26774.0,,14466.0,33161.0,24027.0,36494.0,146533.0,81913.0,37549.0,,71024.0,52972.38888888889,34,47050.75739606599
"B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,7642.0,48296.0,31018.0,12611.0,25985.0,18654.0,11113.0,,74842.0,6608.0,,13776.0,8426.0,21856.0,12800.0,5093.0,15787.0,12418.0,23570.0,78200.0,28029.0,18782.0,80710.0,42229.0,27202.045454545456,68,28197.255043035373
Nitte Meenakshi Institutute of Technology  Bangalore,EC Electronics,18551.0,,27833.0,15903.0,26090.0,18856.0,22096.0,,47362.0,12978.0,,,11897.0,,16744.0,11469.0,19430.0,16640.0,49426.0,80843.0,64304.0,26302.0,,74130.0,31158.555555555555,67,30811.648305704082
Global Academy of Technology  Bangalore,CS Computers,19508.0,,33105.0,17600.0,26105.0,21429.0,25986.0,,35921.0,14422.0,,19895.0,15087.0,,20385.0,13980.0,18231.0,19468.0,44765.0,54375.0,55291.0,24935.0,106651.0,60105.0,32362.2,42,33152.592061745294
Cambridge Institutute of Technology  Bangalore,CS Computers,28078.0,,31132.0,23743.0,26190.0,26332.0,23105.0,,36029.0,20686.0,,30087.0,21841.0,,26522.0,19951.0,24528.0,24988.0,53737.0,80639.0,58224.0,39891.0,125529.0,77318.0,39927.5,42,37105.30263317386
B N M Institute of Technology  Bangalore,IE Info.Science,14160.0,,22189.0,8163.0,26778.0,14268.0,12285.0,,,6640.0,,18082.0,5694.0,30913.0,,5596.0,20482.0,8393.0,35416.0,,47955.0,22539.0,83264.0,,22518.647058823528,78,26199.72860784316
RNS Institute of Technology  Bangalore,EC Electronics,20856.0,,55751.0,19428.0,26788.0,22255.0,27693.0,,,13770.0,,21981.0,14031.0,,20874.0,12634.0,26765.0,19546.0,63552.0,68267.0,86152.0,33462.0,,67639.0,34524.666666666664,67,33278.217640522846
Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,IE Info.Science,18881.0,,28672.0,19252.0,26839.0,21005.0,26209.0,,,15973.0,,,15864.0,,19302.0,15197.0,16982.0,18978.0,59343.0,81098.0,88571.0,34068.0,,49858.0,32711.29411764706,78,32325.336000000025
