Institution,CourseName,1G,Predicted_AvgCutoffRank
E009  P E S University (Ring Road Campus)  Bangalore,BW B Tech in CS,3358.0,9590.654664092994
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,3409.0,10207.423566216115
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,3773.0,9942.375283925065
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,EC Electronics,4265.0,11319.229719829902
E007  Dayananda Sagar College of Engineering  Bangalore,IE Info.Science,4470.0,12386.496226264228
E009  P E S University (Ring Road Campus)  Bangalore,AM B Tech in AM,4797.0,15182.678074788122
E008  Bangalore Institute of Technology  Bangalore,CS Computers,5114.0,12091.883540802735
E005  R. V. College of Engineering  Bangalore,ET Elec.Telecommn. Engg.,5309.0,14304.163081785371
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",CS Computers,5440.0,14883.86571259588
E141  P E S University (Electronic City Campus)  Bangalore,AM B Tech in AM,5542.0,20244.83891785541
E008  Bangalore Institute of Technology  Bangalore,IE Info.Science,5590.0,13382.262875645021
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),IE Info.Science,5591.0,12146.16182301343
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,CS Computers,5956.0,15916.33861187305
E005  R. V. College of Engineering  Bangalore,ME Mechanical,6009.0,19764.022160832443
E105  Nitte Meenakshi Institutute of Technology  Bangalore,CS Computers,6093.0,15826.032318184283
"E275  R V Institute of Technology and Management  JP Nagar, Bengaluru",CS Computers,6173.0,17393.95505143789
E005  R. V. College of Engineering  Bangalore,BT Bio Technology,6349.0,20858.340495285447
E007  Dayananda Sagar College of Engineering  Bangalore,AI ArtificialIntelligence,6889.0,15787.610687417076
E178  The National Institute of Engineering(NORTH CAMPUS)  Mysore,CS Computers,6940.0,14329.776384271963
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,CB Comp. Sc. andBus Sys.,7283.0,21449.633569183898
E022  The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EC Electronics,7298.0,16373.507403611498
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),AI ArtificialIntelligence,7418.0,15187.793783270461
E005  R. V. College of Engineering  Bangalore,EE Electrical,7477.0,11849.74408150951
E016  Siddaganga Institute of Technology  Tumkur,IE Info.Science,7583.0,16047.871810840632
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,7642.0,13824.742844278731
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),EC Electronics,7832.0,15097.608361306558
E107  B N M Institute of Technology  Bangalore,CS Computers,7837.0,15884.303223158284
E141  P E S University (Electronic City Campus)  Bangalore,BW B Tech in CS,8309.0,21254.984852787886
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",CS Computers,8616.0,16570.76578451744
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",IE Info.Science,8769.0,17338.853007552287
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",CS Computers,8838.0,17194.12214990206
E008  Bangalore Institute of Technology  Bangalore,AI ArtificialIntelligence,8848.0,16065.753993835533
E004  Dr. Ambedkar Institute Of Technology  Bangalore,CS Computers,8862.0,14690.239934550737
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,CF CS(ArtificialIntel.),8866.0,21620.55232226059
E007  Dayananda Sagar College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,8884.0,16745.49804807172
E118  RNS Institute of Technology  Bangalore,CS Computers,8968.0,17211.925584033608
"E275  R V Institute of Technology and Management  JP Nagar, Bengaluru",IE Info.Science,9231.0,19676.786247349613
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",IE Info.Science,9430.0,19707.99729998119
E099  New Horizon College of Engineering  Bangalore,CS Computers,9569.0,17812.10201260503
E009  P E S University (Ring Road Campus)  Bangalore,BB B Tech in EC,10089.0,23406.765519130033
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",AI ArtificialIntelligence,10102.0,20210.11758625313
E178  The National Institute of Engineering(NORTH CAMPUS)  Mysore,"CA CS (AI, MachineLearning)",10283.0,23661.88793852758
E007  Dayananda Sagar College of Engineering  Bangalore,EC Electronics,10304.0,18144.26187461412
E007  Dayananda Sagar College of Engineering  Bangalore,CY CS- CyberSecurity,10306.0,16927.25745824117
E178  The National Institute of Engineering(NORTH CAMPUS)  Mysore,IE Info.Science,10513.0,23187.30015046189
E008  Bangalore Institute of Technology  Bangalore,"IC CS-IoT, CyberSecurity",10560.0,24536.19980835665
E008  Bangalore Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,10587.0,19257.651505651407
E007  Dayananda Sagar College of Engineering  Bangalore,CB Comp. Sc. andBus Sys.,10862.0,22763.71862044496
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",CB Comp. Sc. andBus Sys.,10914.0,22800.558395188185
E105  Nitte Meenakshi Institutute of Technology  Bangalore,IE Info.Science,11037.0,23811.536450771477
