Institution,CourseName,1G,Predicted_AvgCutoffRank
E107  B N M Institute of Technology  Bangalore,AI ArtificialIntelligence,15140.0,32088.82361213081
E160  Sahyadri College of Engg. and Management  Mangalore,CS Computers,15154.0,26921.051191716968
E071  Vidya Vardhaka College of Engineering  Mysuru,"CA CS (AI, MachineLearning)",15156.0,32574.401892155012
E007  Dayananda Sagar College of Engineering  Bangalore,BT Bio Technology,15280.0,34753.67767894798
E079  Acharya Institute of Technology  Bangalore,IE Info.Science,15713.0,35196.42479430188
E009  P E S University (Ring Road Campus)  Bangalore,BJ B Tech in EE,15829.0,31784.79875498316
E129  St. Joseph Engineering College  Mangalore,CS Computers,15924.0,30828.30195489186
E105  Nitte Meenakshi Institutute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",16180.0,25794.563604409057
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",AI ArtificialIntelligence,16205.0,31027.35188186807
E006  M S Ramaiah Institute of Technology  Bangalore,CH Chemical,16391.0,48477.1688961804
"E048  B M S College of Engineering  Basavanagudi,Bangalore",SE Aero SpaceEngg.,16458.0,42282.85336822828
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,BT Bio Technology,16477.0,43147.48284959097
E007  Dayananda Sagar College of Engineering  Bangalore,"IC CS-IoT, CyberSecurity",16482.0,26269.1013795481
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,EC Electronics,16586.0,27203.795416680914
E005  R. V. College of Engineering  Bangalore,IM Ind. Engg.Mgmt.,16653.0,31454.72121030807
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",CS Computers,16952.0,29077.22240998619
E006  M S Ramaiah Institute of Technology  Bangalore,EI Elec. Inst.Engg,16979.0,27363.318879273967
E065  Jawaharlal Nehru National College of Engineering  Shimoga,CS Computers,16980.0,26883.618557819005
E097  C M R Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",17143.0,36720.55218544204
E037  K.L.S. Gogte Institute of Technology  Belgaum,IE Info.Science,17241.0,28296.34306625167
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,IE Info.Science,17325.0,26341.421814789643
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",EC Electronics,17385.0,27808.862271421418
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BW B Tech in CS,17435.0,38151.911463757184
E133  G S S S Institute of Engineering and Technology for Women  Mysore,CS Computers,17521.0,32561.62439452809
E062  Bapuji Institute of Engineering and Technology  Davangere,CS Computers,17635.0,30296.68506077704
E279  Visvesvaraya Technological University  Belgaum,CB Comp. Sc. andBus Sys.,17695.0,44862.911342338564
E008  Bangalore Institute of Technology  Bangalore,RI Robotics and AI,17769.0,42549.11173061804
E061  University B.D.T. college of Engineering  Davangere,CS Computers,17832.0,25161.922382205525
"E275  R V Institute of Technology and Management  JP Nagar, Bengaluru",EC Electronics,17836.0,26999.12149141709
E099  New Horizon College of Engineering  Bangalore,AI ArtificialIntelligence,17907.0,29572.95923893915
E031  Basaveshwara Engineering College  Bagalkot,CS Computers,17929.0,25575.30375125314
E004  Dr. Ambedkar Institute Of Technology  Bangalore,EC Electronics,18357.0,28996.350795383394
E232  Reva University  Bangalore,BW B Tech in CS,18493.0,37161.62185766069
E105  Nitte Meenakshi Institutute of Technology  Bangalore,EC Electronics,18551.0,30596.33667040182
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,IE Info.Science,18881.0,32522.8386707099
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,CU B Tech in IS,18920.0,36821.890782343035
E118  RNS Institute of Technology  Bangalore,CY CS- CyberSecurity,19017.0,33845.85411373913
E097  C M R Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,19032.0,31299.054372784183
E082  J S S Academy of Technical Education  Bangalore,"CA CS (AI, MachineLearning)",19108.0,38956.39984245865
E107  B N M Institute of Technology  Bangalore,EC Electronics,19143.0,34168.99283302166
E002  S K S J T Institute of Engineering.  Bangalore,EC Electronics,19231.0,29639.06112773041
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,EE Electrical,19233.0,30356.010255187528
E056  The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EC Electronics,19271.0,25204.50310315616
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,DS Comp. Sc. Engg-Data Sc.,19394.0,32190.753970523725
E036  KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,CS Computers,19453.0,27194.02587046521
E103  Global Academy of Technology  Bangalore,CS Computers,19508.0,29910.073061254727
E118  RNS Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",19535.0,40109.75837500615
E011  M V J College of Engineering  Bangalore,CS Computers,19718.0,28070.51868833851
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",IE Info.Science,19874.0,31360.123301254454
E160  Sahyadri College of Engg. and Management  Mangalore,IE Info.Science,19953.0,31338.63378162938
